Continente,REGISTRO DE OBRA LITERARIA INEDITA,REGISTRO DE OBRA MUSICAL,REGISTRO DE OBRA ARTISTICA,REGISTRO DE OBRA AUDIOVISUAL
AMÉRICA,38,10,1,1
ASIA,1,0,0,0
EUROPA,17,5,0,0
OCEANÍA,1,0,1,0
ÁFRICA,2,1,0,0
